Id,ImportTS,Date,Open,High,Low,Close,Adjusted_close,Volume
28efdf26dde5cbe3e94ede372b38adfb,2023-06-20T17:52:33.394753,2022-06-20,1390.05,1422.35,1382,1414.15,1380.27,4595194
29a8b20967f96aec115107021d01c403,2023-06-20T17:52:33.394753,2022-06-21,1424,1456,1422.75,1449.9,1415.16,6270787
c7c92f813f6d5181f93ce266dc4e6f79,2023-06-20T17:52:33.394753,2022-06-22,1436.05,1459.6,1435,1437.25,1402.82,6253366
248934df853e8c5d3a2dca3ee05bd1c7,2023-06-20T17:52:33.394753,2022-06-23,1439.8,1458,1433,1452.45,1417.65,6254281
645a20081b31021584c900d3daaf65f5,2023-06-20T17:52:33.394753,2022-06-24,1458,1467.5,1428.9,1441.1,1406.57,6114340
5e3d3121bf9fdba528e6b9797b152613,2023-06-20T17:52:33.394753,2022-06-27,1468.05,1484,1465.15,1474.6,1439.27,4511097
75b9fba5adc6823f231afeee1756ad97,2023-06-20T17:52:33.394753,2022-06-28,1469,1488.25,1453,1480.15,1444.69,4412178
75ad164fed4f1762c46062acc1e5cc5e,2023-06-20T17:52:33.394753,2022-06-29,1464.7,1477,1457,1463.25,1428.19,5060038
b8a4dd9bb926372085e58ad93a3ae5d1,2023-06-20T17:52:33.394753,2022-06-30,1465.05,1482,1455,1461.9,1426.88,9165177
30f39ef17bfc03e25eab9b5962e5df5e,2023-06-20T17:52:33.394753,2022-07-01,1454,1485,1442.35,1479.4,1443.96,4651635
845886c8372dcdd1056832fb4bf51384,2023-06-20T17:52:33.394753,2022-07-04,1480.25,1492.25,1462,1488,1452.35,4800224
c071583877bde9fbc353c623bb983f48,2023-06-20T17:52:33.394753,2022-07-05,1498.8,1509.95,1472,1475.95,1440.59,7379669
9c185bc760d0ba16ad318f1d09256d55,2023-06-20T17:52:33.394753,2022-07-06,1482.2,1500,1470,1491.65,1455.91,5209162
7e2963ce96ed36eec748b2eacc9bcd29,2023-06-20T17:52:33.394753,2022-07-07,1503.05,1513.95,1495.7,1498.7,1462.79,3323472
76976b3331a4bb1f2300ab3a326ef116,2023-06-20T17:52:33.394753,2022-07-08,1515,1516.95,1499.95,1514.45,1478.17,3652582
1c69621048d12b0237ff58b0427244ef,2023-06-20T17:52:33.394753,2022-07-11,1495,1499.9,1466.4,1473.15,1437.86,4702815
29628fa3a7e262a9724f864273c94603,2023-06-20T17:52:33.394753,2022-07-12,1461.8,1468.6,1436,1438.6,1404.13,4710356
71fcbe3f97295b31a357daac1611a0f4,2023-06-20T17:52:33.394753,2022-07-13,1450,1460,1438.6,1444.45,1409.84,5264025
783a020683570303eb61a27e05d1c2f0,2023-06-20T17:52:33.394753,2022-07-14,1451,1452.95,1414,1428.85,1394.62,6157606
0de59463173de9dfa4ba8bc82af8a5db,2023-06-20T17:52:33.394753,2022-07-15,1446,1446,1410.65,1430.35,1396.08,5620018
246f59dcd39e1764f85d7b8c74824565,2023-06-20T17:52:33.394753,2022-07-18,1450,1493.6,1448.05,1489.9,1454.2,5835171
effbb7e97a3c95338e898a6ef0453f47,2023-06-20T17:52:33.394753,2022-07-19,1471.55,1486.85,1470.1,1484.15,1448.59,3418540
10447464ee3f27775bb95332dc4619fc,2023-06-20T17:52:33.394753,2022-07-20,1501.25,1525.8,1500,1515.3,1479,5079392
1b759770c8216c1428ba4dbd69fd1052,2023-06-20T17:52:33.394753,2022-07-21,1517,1535.45,1503.1,1532.9,1496.17,5008061
da7085cc826ae72ee7dfb1f87560cee5,2023-06-20T17:52:33.394753,2022-07-22,1534,1540,1492.15,1506.3,1470.21,7020642
ec0cee2948a2d91ed1e1215514cc681e,2023-06-20T17:52:33.394753,2022-07-25,1480.1,1517.15,1480.1,1503.6,1467.58,7859626
195e70aa692ad91b6f81ffaf32f63eb1,2023-06-20T17:52:33.394753,2022-07-26,1496.65,1496.65,1445,1451.15,1416.38,7268273
0f05d12b983870872f28541a4cbd44ca,2023-06-20T17:52:33.394753,2022-07-27,1451,1473,1445,1471.05,1435.81,4517285
fd71f5e9d1fb288ef3b5ed66f0017489,2023-06-20T17:52:33.394753,2022-07-28,1496.4,1524.45,1489.85,1517.4,1481.05,6636841
2a0d12524886d7b06252cf4465595cfa,2023-06-20T17:52:33.394753,2022-07-29,1532.8,1555.7,1528,1549.7,1512.57,7009465
9fca95e110f1e992f8002c441a8f97d5,2023-06-20T17:52:33.394753,2022-08-01,1564,1564,1537.9,1551.05,1513.89,2983249
27a0204da716973faa307aead66caf4c,2023-06-20T17:52:33.394753,2022-08-02,1546.55,1547,1528.35,1543.6,1506.62,4374635
ef1b867000a9726a9a0eb23e62b16030,2023-06-20T17:52:33.394753,2022-08-03,1549,1570,1539.9,1566.1,1528.58,6011955
cf35d4c1865718a14ae5774f56a222f7,2023-06-20T17:52:33.394753,2022-08-04,1587.5,1603.85,1574.95,1599.9,1561.57,7402209
b78c617f3cf3c5e2c9c113e540ddb219,2023-06-20T17:52:33.394753,2022-08-05,1608.4,1625.7,1602.3,1616.65,1577.92,5361971
389210a9770a0831912ebb614f82e529,2023-06-20T17:52:33.394753,2022-08-08,1617,1622,1596,1619.4,1580.6,3763409
155c57064948184a314beb85dd1a05e6,2023-06-20T17:52:33.394753,2022-08-10,1621.2,1621.2,1588.1,1602.45,1564.06,4423829
ddb9a3df4d45f406883b31ed067fb169,2023-06-20T17:52:33.394753,2022-08-11,1630,1631.35,1616,1619.95,1581.14,3462090
6974cab58443cc5881a4bac67e642c94,2023-06-20T17:52:33.394753,2022-08-12,1613.3,1614,1590.15,1594.1,1555.91,3562286
